INFO  - 2014-06-12 17:11:34.604; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-06-12 17:11:34.605; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-06-12 17:11:34.605; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-06-12 17:11:34.606; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-12 17:11:34.607; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-12 17:11:34.607; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-06-12 17:11:34.607; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-06-12 17:11:34.610; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-06-12 17:11:34.610; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-06-12 17:11:34.618; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-06-12 17:11:34.626; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-06-12 17:11:34.627; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
